ctr_mean,ctr_std,n_ctrs,EMD_CD
65.0,28.50438562747845,5,11290138
54.166666666666664,29.226129861250303,6,11290139
101.38888888888889,44.94459188678078,18,11305101
80.0,28.382310609877337,10,11305102
269.44444444444446,144.1356638925106,63,11305103
352.21238938053096,167.82343247589088,113,11305104
67.85714285714286,23.779743280283547,7,11320105
107.89473684210526,72.19410158796609,19,11320106
50.0,26.72612419124244,8,11320107
436.4754098360656,211.57020950954455,61,11320108
63.63636363636363,30.338993810845892,11,11350102
84.375,52.55044160655054,24,11350103
60.0,22.360679774997898,5,11350104
279.9107142857143,156.11910101361298,56,11350105
230.0,141.7866293973521,30,11350106
88.88888888888889,48.591265790377506,9,11380101
116.66666666666667,56.74237366992123,12,11380102
209.16666666666666,109.75743893831911,30,11380103
130.76923076923077,55.107703403054046,13,11380104
107.6923076923077,55.32537786493135,13,11380105
37.5,17.67766952966369,2,11380106
116.66666666666667,62.46210972673875,12,11380107
75.0,39.528470752104745,5,11380108
97.72727272727273,41.009976613236226,11,11380109
62.5,32.274861218395145,4,11380110
198.046875,139.8202280807593,64,11380114
75.0,25.0,3,11410101
75.0,20.412414523193153,4,11410102
50.0,0.0,1,11410103
75.0,25.0,3,11410105
100.0,35.35533905932738,6,11410106
100.0,39.528470752104745,5,11410107
112.5,46.770717334674266,6,11410108
129.16666666666666,53.12221472199458,12,11410109
112.5,42.89845892077916,10,11410110
173.38709677419354,75.53572109466037,31,11410111
70.0,32.59601202601324,5,11410112
62.5,17.67766952966369,2,11410113
93.33333333333333,50.414944874180584,15,11410114
177.5,65.03204338375558,10,11410115
43.75,12.5,4,11410116
110.41666666666667,69.12365521400707,24,11410117
147.41379310344828,54.01092299670193,29,11410118
33.333333333333336,14.433756729740644,3,11410119
37.5,14.433756729740644,4,11410120
56.25,22.16013151069796,8,11440101
55.0,20.91650066335189,5,11440102
37.5,17.67766952966369,2,11440103
37.5,17.67766952966369,2,11440104
25.0,0.0,2,11440107
62.5,34.46012188022556,6,11440108
56.25,23.935677693908453,4,11440109
62.5,32.274861218395145,4,11440110
50.0,31.622776601683793,6,11440111
25.0,0.0,1,11440112
62.5,32.274861218395145,4,11440114
55.0,32.59601202601324,5,11440115
25.0,0.0,1,11440120
25.0,0.0,1,11440121
25.0,0.0,2,11440122
25.0,0.0,1,11440124
44.44444444444444,16.666666666666668,9,11440125
25.0,0.0,1,11440126
64.0625,30.233466556119563,16,11440127
55.43478260869565,23.784689664794723,23,11470101
42.5,16.87371394276382,10,11470102
59.21052631578947,26.6282618187027,19,11470103
31.25,12.5,4,11500101
64.28571428571429,24.39750182371333,7,11500102
66.25,24.702173354202106,20,11500103
31.25,12.5,4,11500104
20.0,20.91650066335189,5,11500105
44.44444444444444,20.833333333333336,9,11500106
28.571428571428573,9.44911182523068,7,11500107
25.0,0.0,1,11500108
66.66666666666667,35.35533905932738,9,11500109
84.375,35.19714882933397,8,11500110
25.0,0.0,9,11530102
25.0,0.0,4,11530103
38.63636363636363,13.055824196677337,11,11530106
54.166666666666664,28.76118708177639,18,11530107
71.5909090909091,29.17053159302918,22,11530108
75.0,26.220221204253786,21,11530109
62.5,20.91650066335189,6,11530110
75.0,31.868871959954905,17,11530111
70.3125,33.18979511837939,16,11530112
25.0,0.0,1,11545101
83.33333333333333,37.49999999999999,9,11545102
195.45454545454547,102.82797806819444,22,11545103
25.0,0.0,1,11560101
25.0,0.0,2,11560118
0.0,0.0,1,11560124
37.5,17.67766952966369,2,11560131
25.0,0.0,5,11560132
25.0,0.0,1,11560133
37.5,14.433756729740644,4,11590101
85.0,39.85266984930429,35,11590102
50.0,0.0,3,11590103
60.714285714285715,28.34733547569204,7,11590104
86.66666666666667,32.55032733358928,15,11590105
71.0,39.31708704028483,25,11590106
81.66666666666667,35.93976442141304,15,11590107
47.5,18.446619684315547,10,11590108
41.666666666666664,12.909944487358056,6,11590109
165.0,101.04566924280957,45,11620101
272.3958333333333,170.62112408039087,96,11620102
254.31034482758622,128.0117470748781,29,11620103
117.04545454545455,57.50953593139488,44,11650101
72.5,45.087633968108214,20,11650102
121.25,98.09870163849212,20,11650103
237.09677419354838,144.17451342931815,31,11650104
25.0,0.0,2,11650106
42.5,18.317377426626162,20,11650107
80.46875,60.48672708310316,32,11650108
170.53571428571428,72.63031280162807,56,11650109
141.66666666666666,91.4499602957554,15,11650110
169.56521739130434,76.85454152722326,23,11650111
37.5,13.693063937629153,6,11680101
128.84615384615384,91.56754547663373,26,11680103
40.0,13.693063937629153,5,11680104
43.75,12.500000000000002,4,11680105
25.0,0.0,3,11680106
25.0,0.0,2,11680107
45.0,11.180339887498949,5,11680108
25.0,0.0,3,11680110
73.6842105263158,47.48807175559277,19,11680111
118.33333333333333,68.44358121492336,15,11680112
45.0,11.180339887498949,5,11680113
105.55555555555556,85.98715514350502,18,11680114
89.0625,53.20459723244474,16,11680115
50.0,22.360679774997898,6,11680118
25.0,0.0,1,11710101
25.0,0.0,1,11710103
25.0,0.0,4,11710104
45.0,11.180339887498949,5,11710107
41.666666666666664,14.433756729740644,3,11710108
31.25,11.572751247156893,8,11710109
25.0,0.0,5,11710111
35.714285714285715,13.36306209562122,7,11710112
47.5,7.694837640638656,20,11710113
58.333333333333336,30.917347120042113,18,11710114
57.142857142857146,23.779743280283547,7,11740101
43.75,17.078251276599335,16,11740102
42.857142857142854,12.198750911856665,7,11740103
53.125,24.77578022412787,8,11740105
75.0,37.79644730092272,8,11740106
50.0,16.666666666666668,10,11740107
25.0,0.0,2,11740108
25.0,0.0,3,11740109
25.0,0.0,7,11740110
106.25,53.033008588991066,8,26110101
0.0,0.0,1,26110107
0.0,0.0,1,26110110
25.0,0.0,1,26110112
25.0,0.0,1,26110113
62.5,32.274861218395145,4,26110115
43.75,23.935677693908453,4,26110116
25.0,0.0,1,26110117
87.5,46.770717334674266,6,26110119
87.5,46.770717334674266,6,26110120
37.5,17.67766952966369,2,26110134
0.0,0.0,1,26110136
0.0,0.0,1,26110139
62.5,32.274861218395145,4,26140101
117.85714285714286,44.98677054212187,7,26140102
275.0,123.44267996967353,22,26140103
96.42857142857143,48.79500364742666,7,26140104
158.33333333333334,69.35853271664605,12,26140105
321.3114754098361,132.19588256114568,61,26140106
87.5,46.770717334674266,6,26140108
96.42857142857143,48.795003647426654,7,26140111
156.94444444444446,64.62877907687349,18,26140116
162.5,90.13878188659972,12,26140119
0.0,0.0,1,26140120
25.0,0.0,1,26140121
25.0,0.0,1,26140122
135.41666666666666,86.90272339422587,12,26140123
112.85714285714286,88.1533232689576,35,26140124
216.0,140.6606436309271,25,26170101
253.2608695652174,124.61402861027412,23,26170102
70.83333333333333,54.181233472541585,12,26170103
127.77777777777777,93.49775433324308,18,26170104
150.0,68.46531968814577,9,26200111
87.5,32.274861218395145,4,26200112
137.5,61.237243569579455,8,26200113
212.5,104.58250331675944,14,26200114
137.5,61.237243569579455,8,26200118
150.0,68.46531968814577,9,26200119
198.4375,105.06694294591425,16,26200120
137.24489795918367,105.21833066934458,49,26200121
126.25,84.8663810444333,20,26230101
250.0,125.0,21,26230102
25.0,0.0,1,26230103
