,EMD_CD,EMD_ENG_NM,EMD_KOR_NM,predicted
173,11740101,Myeongil-dong,명일동,26.63817995896032
174,11740102,Godeok-dong,고덕동,16.759195455624074
175,11740103,Sangil-dong,상일동,21.582327613611167
176,11740105,Gil-dong,길동,25.848516609609128
177,11740106,Dunchon-dong,둔촌동,18.30753453155161
178,11740107,Amsa-dong,암사동,18.32535118814115
179,11740109,Cheonho-dong,천호동,15.38482028857847
180,11740110,Gangil-dong,강일동,15.179877223249981
181,26110101,Yeongju-dong,영주동,15.88344090145242
182,26110105,Jungang-dong 2(i)-ga,중앙동2가,17.217793347715666
183,26110109,Jungang-dong 6(yuk)-ga,중앙동6가,16.605776560517903
184,26110110,Jungang-dong 7(chil)-ga,중앙동7가,17.12299427353048
185,26110111,Donggwang-dong 1(il)-ga,동광동1가,16.55214855387941
186,26110113,Donggwang-dong 3(sam)-ga,동광동3가,16.89541091115139
187,26110116,Daecheong-dong 1(il)-ga,대청동1가,17.28687060850212
188,26110117,Daecheong-dong 2(i)-ga,대청동2가,16.054997750859396
189,26110119,Daecheong-dong 4(sa)-ga,대청동4가,20.680764760206877
190,26110120,Bosu-dong 1(il)-ga,보수동1가,29.90417224707785
191,26110133,Gwangbok-dong 1(il)-ga,광복동1가,16.989954426341313
192,26110136,Nampo-dong 1(il)-ga,남포동1가,17.293020402657977
193,26110137,Nampo-dong 2(i)-ga,남포동2가,16.675243397715043
194,26140102,Dongdaesin-dong 2(i)-ga,동대신동2가,15.940085644114871
195,26140103,Dongdaesin-dong 3(sam)-ga,동대신동3가,18.307369676440185
196,26140104,Seodaesin-dong 1(il)-ga,서대신동1가,57.82696030513736
197,26140105,Seodaesin-dong 2(i)-ga,서대신동2가,25.85253135093259
198,26140106,Seodaesin-dong 3(sam)-ga,서대신동3가,34.92881270135127
199,26140111,Bumin-dong 3(sam)-ga,부민동3가,28.482120754368513
200,26140116,Ami-dong 2(i)-ga,아미동2가,17.152856457038226
201,26140119,Chojang-dong,초장동,24.283103169902944
202,26140123,Nambumin-dong,남부민동,26.78218404676409
203,26140124,Amnam-dong,암남동,60.50790661606925
204,26170101,Choryang-dong,초량동,20.44938642677168
205,26170102,Sujeong-dong,수정동,49.16167251567495
206,26170103,Jwacheon-dong,좌천동,18.86322977814477
207,26170104,Beomil-dong,범일동,27.239338941421593
208,26200111,Yeongseon-dong 4(sa)-ga,영선동4가,23.195569417831596
209,26200113,Sinseon-dong 2(i)-ga,신선동2가,24.973229862442604
210,26200114,Sinseon-dong 3(sam)-ga,신선동3가,35.30845738899256
211,26200120,Cheonghak-dong,청학동,40.15617304637579
212,26200121,Dongsam-dong,동삼동,73.97538531210583
213,26230101,Yangjeong-dong,양정동,23.956324789299188
214,26230102,Jeonpo-dong,전포동,33.541078770137005
215,26230104,Beomcheon-dong,범천동,50.39501735128651
216,26230105,Beomjeon-dong,범전동,16.975869839481422
217,26230106,Yeonji-dong,연지동,18.70073198239734
