지점,시작일,종료일,지점명,위도,경도
759,2024-09-25,,뱀사골,35.3716,127.5783
760,2021-10-15,,복흥,35.4274,126.9327
761,2020-10-23,,태인,35.6508,126.9346
762,2024-06-01,,임실강진,35.5517,127.187
763,2024-10-15,,여산,36.0592,127.062
764,2020-10-23,,신덕,35.6736,127.1414
765,2024-10-15,,복내,34.8923,127.1345
766,2021-10-15,,여수산단,34.8495,127.715
767,2024-10-15,,포두,34.5885,127.3975
768,2021-08-16,,곡성,35.2889,127.2853
769,2020-10-23,,염산,35.1993,126.3834
770,2022-12-22,,다도,34.9286,126.82
771,2024-10-15,,안좌,34.7269,126.1446
772,2024-10-15,,수유,34.5321,126.2396
773,2020-09-23,,학산,34.7085,126.6359
774,2021-10-15,,전남도청,34.8175,126.4662
775,2025-04-04,,월야,35.1778,126.6391
776,2022-10-31,,현산,34.46,126.5571
777,2021-10-15,,관산,34.5563,126.9346
778,2020-09-23,,유치,34.7959,126.8218
779,2016-11-09,,한림,33.3927,126.2581
780,2023-11-01,,제주남원,33.2772,126.7044
781,2023-11-01,,구좌,33.5199,126.8777
782,2024-10-15,,성판악,33.3851,126.6194
783,2020-10-13,,과기원,35.2303,126.8408
784,2020-09-23,,시종,34.8772,126.6126
785,2021-10-15,,북일,34.4638,126.6763
786,2021-08-31,,돌산,34.6381,127.7741
787,2020-02-04,,도화,34.5067,127.3172
788,2020-10-23,,풍암,35.1316,126.8813
789,2020-10-23,,압해도,34.8764,126.2929
790,2024-10-15,,나로도,34.5326,127.4674
791,2024-09-03,,피아골,35.2662,127.5838
792,2024-12-13,,표선,33.363,126.8184
793,2024-10-04,,대정,33.241,126.2263
794,2022-10-06,,황전,35.1007,127.4274
795,2022-10-01,,옥과,35.2753,127.139
796,2021-08-14,,초도,34.2378,127.2448
797,2021-08-06,,하태도,34.395,125.2995
798,2024-10-15,,홍도,34.6855,125.1924
799,2024-09-10,,낙월도,35.202,126.1349
800,2021-08-10,,평해,36.7257,129.4437
801,2015-07-13,,영양,36.625,129.088
802,2021-08-11,,온정,36.7574,129.3401
803,2020-12-04,,옥산,36.3947,128.8115
804,2022-10-01,,청하,36.1906,129.3392
805,2020-10-10,,죽장,36.1793,129.0943
806,2022-09-27,,선산,36.2334,128.2903
807,2023-11-30,,의흥,36.1797,128.6932
808,2023-11-01,,호미곶,36.076,129.5667
809,2024-10-05,,대덕,35.9354,127.9792
810,2024-10-03,,성주,35.9255,128.2985
811,2022-10-11,,황성,35.863,129.2093
812,2005-11-07,,고령,35.696,128.2821
813,2022-10-12,,청도,35.654,128.7318
814,2023-11-01,,부석,36.9792,128.661
815,2023-11-02,,예천,36.66,128.4646
816,2023-11-04,,구룡포,35.9831,129.5475
817,2023-11-01,,수비,36.7827,129.2212
818,2021-10-15,,마성,36.7078,128.1479
819,2021-10-15,,예안,36.6588,128.8864
820,2012-11-20,,하회,36.5482,128.5267
821,2024-09-26,,공성,36.2819,128.0739
822,2023-12-02,,김천,36.1199,128.1552
823,2023-11-30,,군위,36.2493,128.5558
824,2020-10-23,,가산,36.0956,128.5001
825,2015-07-13,,칠곡,36.0398,128.3813
826,2020-12-04,,신녕,36.0471,128.79
827,2012-12-04,,경산,35.8243,128.743
828,2023-11-01,,달성,35.6902,128.4238
829,2022-10-18,,외동,35.7121,129.3182
830,2020-10-09,,기계,36.0689,129.1996
831,2015-07-13,,석포,37.0401,128.9971
832,2024-09-28,,단북,36.3907,128.4286
833,2020-01-03,,은척,36.5383,128.0419
834,2024-09-11,,화서,36.4412,127.9442
835,2020-10-30,,봉화읍,36.8932,128.716
836,2024-10-12,,현서,36.2794,128.896
837,2024-10-15,,이산,36.8268,128.6429
838,2021-10-15,,동로,36.7907,128.2705
839,2021-10-15,,길안,36.4583,128.8954
840,2024-10-10,,하양,35.9126,128.8144
841,2021-10-15,,화북,36.0849,128.9111
842,2020-10-14,,산내,35.7576,129.011
843,2021-08-13,,금강송,36.9361,129.2501
844,2021-10-15,,영덕읍,36.4355,129.3586
845,2020-10-13,,대구북구,35.9084,128.5907
846,2021-07-21,,대구서구,35.8651,128.531
847,2023-11-30,,소보,36.2762,128.4664
848,2022-10-14,,청도금천,35.6792,128.8953
849,2020-12-04,,지보,36.5469,128.3871
850,2011-12-16,,감포,35.7847,129.4906
851,2021-08-12,,소곡,37.0514,129.3521
852,2022-09-23,,죽변,37.0606,129.426
853,2021-07-21,,팔공산,36.0183,128.6213
854,2023-10-26,,삼동,35.4953,129.1336
855,2022-10-28,,가파도,33.1733,126.2683
856,2023-10-29,,광양백운산,35.1018,127.5982
857,2022-10-07,,완도읍,34.3,126.7174
858,2023-10-28,,지산,34.4296,126.1701
859,2021-09-07,,토함산,35.7549,129.3687
860,2020-04-25,,신암,35.8852,128.619
861,2023-12-28,,제주김녕,33.5556,126.773
862,2023-11-30,,송당,33.4706,126.7792
863,2023-10-21,,외도,33.4769,126.4317
864,2020-10-23,,완산,35.8215,127.155
865,2023-11-30,,오등,33.4577,126.522
866,2021-10-15,2024-04-04,한라생태숲,33.4302,126.5978
867,2021-10-15,,삼각봉,33.3769,126.5305
868,2021-10-15,,사제비,33.376,126.498
869,2023-11-01,,영실,33.3483,126.4964
870,2022-10-18,,진달래밭,33.3698,126.5557
871,2022-10-16,,윗세오름,33.3623,126.5181
872,2022-10-07,,지리산,35.3192,127.7564
873,2016-08-01,2022-12-02,원주백운산,37.2557,127.9702
874,2021-08-31,,동송,38.1416,127.2197
875,2020-10-08,,설악산,38.1211,128.4606
876,2023-10-20,,삼척,37.45,129.1621
877,2021-09-15,,문막,37.3134,127.8049
878,2023-11-01,,도계,37.2238,129.0961
879,2015-07-13,2020-11-18,스키점프,37.6605,128.6796
880,2020-10-23,2021-05-17,금악,33.3328,126.3237
881,2023-11-01,,새만금,35.7295,126.5289
882,2020-10-23,,상무대,35.2518,126.6042
883,2023-11-30,,새별오름,33.3623,126.3599
884,2023-10-20,2024-10-25,서호,33.2593,126.5176
885,2023-11-30,,한남,33.3314,126.6785
886,2023-11-03,,군산산단,35.9505,126.5912
887,2014-06-20,2019-03-18,세종연기,36.5033,127.2897
888,2023-11-01,,청남대,36.4627,127.4907
